pais,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021
Morocco,0.4612,0.4006,0.3926,0.4477,0.4077,0.4177,0.4154,0.3949,0.4,0.378,0.38,0.391,0.404,0.405,0.407
Moldova,0.7604,0.7785,0.8017,0.7323,0.7707,0.7641,0.7608,0.7407,0.8077,0.797,0.795,0.811,0.785,0.788,0.811
Madagascar,0.5776,0.6086,0.6962,0.6876,0.6708,0.6781,0.692,0.7033,0.7335,0.696,0.739,0.716,0.714,0.769,0.754
Maldives,,0.5138,0.5661,0.5788,0.5907,0.6019,0.5968,0.5914,0.5904,0.589,0.59,0.641,0.622,0.518,0.491
Mexico,0.4801,0.4891,0.4789,0.5089,0.5212,0.5318,0.5382,0.5499,0.5519,0.545,0.544,0.518,0.574,0.574,0.59
"Macedonia, FYR",0.6707,0.6653,0.6466,0.6656,0.6775,0.6761,0.665,0.6611,0.6511,0.671,0.658,0.636,0.62,0.635,0.647
Mali,0.6655,0.6946,0.7112,0.5969,0.5137,0.5274,0.5677,0.5668,0.5547,0.605,0.594,0.518,0.507,0.591,0.475
Malta,0.5099,0.5488,0.5605,0.5611,0.5428,0.5281,0.5498,0.5655,0.5686,0.573,0.595,0.61,0.614,0.621,0.656
Myanmar,,,,,,,,,,,,0.754,0.738,0.63,0.657
Montenegro,,,,,,,,,0.7109,0.67,0.647,0.653,0.696,0.712,0.748
Mongolia,0.7043,0.6682,0.7563,0.8334,0.8746,0.85,0.8387,0.8338,0.8082,0.783,0.766,0.776,0.78,0.751,0.769
Mozambique,,0.797,0.8345,0.8133,0.8113,0.7816,0.7988,0.7897,0.7892,0.773,0.798,0.789,0.675,0.648,0.655
Mauritania,0.4992,0.5046,0.4894,0.4908,0.4668,0.4639,0.4955,0.3651,0.4661,0.447,0.469,0.417,0.408,0.411,0.44
Mauritius,0.483,0.5469,0.5269,0.5465,0.5491,0.5441,0.5536,0.5735,0.5507,0.534,0.55,,0.585,0.596,0.6
Malawi,0.6647,0.6755,0.6872,0.6925,0.6979,0.7003,0.8224,0.8253,0.8298,0.809,0.799,0.654,0.609,0.6,0.624
Malaysia,0.5924,0.5671,0.5548,0.5653,0.5765,0.5941,0.5988,0.5904,0.6174,0.634,0.658,0.654,0.656,0.639,0.638
Namibia,0.6135,0.6717,0.7091,0.7201,0.7386,0.7273,0.71,0.698,0.7326,0.775,0.781,0.813,0.804,0.789,0.794
Niger,,,,,,,,,,,,,,,0.673
Nigeria,0.6116,0.6209,0.6459,0.6163,0.6044,0.5964,0.6299,0.6965,0.7064,0.691,0.7,0.728,0.661,0.738,0.687
Nicaragua,0.4626,0.4344,0.4608,0.5626,0.5915,0.6187,0.6148,0.6218,0.6347,0.619,0.632,0.702,0.679,0.671,0.598
Netherlands,0.6351,0.6667,0.6674,0.6851,,0.7432,0.7578,0.7592,0.7106,0.732,0.659,0.657,0.698,0.702,0.713
Norway,0.7286,0.7509,0.7838,0.7793,0.8306,0.8302,0.83,0.8357,0.8357,0.868,0.818,0.816,0.806,0.798,0.792
Nepal,0.4654,0.4568,0.4618,0.4978,0.5174,0.4606,0.4874,0.5151,0.547,0.575,0.578,0.599,0.608,0.632,0.63
New Zealand,0.7139,0.7552,0.7792,0.7842,0.7743,0.7747,0.7822,0.7797,0.7517,0.768,0.765,0.768,0.761,0.753,0.763
Oman,,0.3845,0.4149,0.4059,0.4003,0.4068,0.4284,0.4489,0.4707,0.441,0.483,,0.43,0.431,0.453
Pakistan,0.3687,0.3725,0.3724,0.3403,0.3059,0.3446,0.3103,0.3108,0.3094,0.33,0.32,0.309,0.318,0.327,0.316
Panama,0.6472,0.6551,0.6781,0.6831,0.6925,0.6797,0.6998,0.7136,0.7123,0.698,0.696,0.691,0.693,0.725,0.731
Peru,0.5305,0.5371,0.5961,0.635,0.6201,0.6109,0.6098,0.6278,0.6271,0.603,0.594,0.632,0.634,0.652,0.629
Philippines,0.7573,0.7891,0.7734,0.7604,0.7611,0.7632,0.7719,0.7773,0.778,0.799,0.78,0.764,0.801,0.792,0.795
Papua New Guinea,,,,,,,,,,,,,,0.683,0.684
Poland,0.6352,0.6167,0.6238,0.6426,0.6526,0.653,0.6503,0.6563,0.6808,0.667,0.69,0.702,0.706,0.711,0.705
Portugal,0.6691,0.6835,0.6958,0.6814,0.6723,0.6626,0.6788,0.6726,0.7192,0.712,0.713,0.73,0.721,0.726,0.746
Paraguay,0.5542,0.594,0.4827,0.6688,0.6373,0.6436,0.651,0.6363,0.6461,0.616,0.656,0.652,0.623,0.641,0.672
Qatar,,0.4556,0.4146,0.4005,0.4829,0.5473,0.5557,0.5735,0.6197,0.632,0.619,0.523,0.511,0.512,0.504
Romania,0.6725,0.6974,0.7001,0.7121,0.7081,0.6943,0.6815,0.6928,0.6825,0.708,0.699,0.698,0.705,0.728,0.723
Russian Federation,0.6963,0.7346,0.7426,0.74,0.736,0.7373,0.7197,0.7204,0.7257,0.731,0.722,0.724,0.741,0.749,0.767
Rwanda,,,,,,,,,0.7698,0.808,0.817,0.82,0.743,0.672,0.726
Saudi Arabia,0.2401,0.321,0.2589,0.3096,0.3351,0.3576,0.3404,0.3223,0.3893,0.387,0.328,0.32,0.337,0.375,0.39
Senegal,,,,0.6379,0.6439,0.6884,0.6737,0.6401,0.6624,0.678,0.628,0.624,0.564,0.552,0.554
Singapore,0.6459,0.6546,0.6544,0.6707,0.7527,0.7585,0.7876,0.7883,0.7899,0.814,0.793,0.752,0.761,0.782,0.749
Sierra Leone,,,,,,,,,,,,,0.686,0.745,0.713
El Salvador,0.5701,0.5762,0.5632,0.5787,0.5534,0.5405,0.5427,0.5345,0.6415,0.639,0.623,0.634,0.582,0.59,0.634
Serbia,,,,,,,0.6596,0.6791,0.6704,0.669,0.67,0.67,0.672,0.7,0.716
Suriname,,0.6169,0.5507,0.5714,0.4495,0.5084,0.5144,0.4986,0.5688,0.616,0.617,0.618,0.638,0.635,0.703
Slovak Republic,0.6504,0.6666,0.638,0.6464,0.6375,0.6335,0.6282,0.635,0.6431,0.638,0.648,0.662,0.657,0.663,0.682
Slovenia,0.6668,0.7049,0.7079,0.7211,0.7229,0.7205,0.7139,0.7189,0.7827,0.778,0.784,0.801,0.795,0.797,0.803
Sweden,0.7313,0.7613,0.7842,0.7851,0.7695,0.7933,0.7957,0.7829,0.7989,0.836,0.802,0.809,0.808,0.79,0.81
Swaziland,,,,,,,,,0.6239,0.608,0.595,0.595,,0.703,0.797
Syrian Arab Republic,,0.524,0.5084,0.4609,0.398,0.409,0.2743,0.2508,0.2975,0.279,0.273,0.274,0.273,0.249,0.285
Chad,0.6011,0.6523,0.6028,0.6474,0.6265,0.593,0.6772,0.6547,0.6645,0.666,0.667,0.667,0.677,0.682,0.693
Togo,,,,,,,,,,,,,0.61,0.608,0.787
Thailand,0.7221,0.7236,0.7283,0.7216,0.716,0.709,0.699,0.7035,0.7677,0.794,0.77,0.767,0.763,0.776,0.787
Tajikistan,,0.7103,0.6891,0.7298,0.7087,0.6827,0.7115,0.7284,0.7007,0.709,0.711,0.708,0.547,0.496,0.574
Timor-Leste,,,,,,,0.6131,,,,0.406,0.393,0.423,0.478,0.724
Trinidad and Tobago,0.6143,0.6388,0.6663,0.6915,0.712,0.7108,0.7013,0.7112,0.7072,0.704,0.702,,,0.721,0.703
Tunisia,0.4803,0.474,0.4757,0.4524,0.4501,0.444,,,0.4634,0.444,0.444,0.446,0.439,0.434,0.445
Turkey,0.4344,0.4307,0.4123,0.4002,0.3856,0.3888,0.4139,0.4269,0.4532,0.459,0.464,0.471,0.466,0.478,0.486
Tanzania,0.8087,0.7796,0.7889,0.6824,0.671,0.6571,0.6695,0.6635,0.7077,0.709,0.674,0.674,0.676,0.698,0.703
Uganda,0.6773,0.6763,0.6943,0.7256,0.7075,0.7088,0.7221,0.7285,0.6311,0.653,0.647,0.693,0.7,0.663,0.692
